Empty;Type;Author Name;Album Name;Song Name;Punteggio;Analizzata;Recomended;Loreto;Buona;Soft;Vivace;Molto Viv;Camera;Car;Lenta;Country;Strumentale;Classica;Lirica;Live;Discreta;Undefined;Avoid it;Confusionaria;Song Size
;@;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Bambini;Canzoni sotto l'albero;Varie;Alla scoperta di Babbo NATALE;384;x;.;.;B;S;.;.;.;.;.;.;.;.;.;.;.;.;.;.; bytes 3.010.560;;;;
;Bambini;Canzoni sotto l'albero;Varie;Ci vuole un fiore   ;384;x;.;.;B;S;.;.;.;.;.;.;.;.;.;.;.;.;.;.; bytes 3.514.368;;;;
;Bambini;Canzoni sotto l'albero;Varie;Dolce cara mammina  ;384;x;.;.;B;S;.;.;.;.;.;.;.;.;.;.;.;.;.;.; bytes 1.757.184;;;;
;Bambini;Canzoni sotto l'albero;Varie;Il ballo del qua qua;384;x;.;.;B;S;.;.;.;.;.;.;.;.;.;.;.;.;.;.; bytes 3.006.464;;;;
;Bambini;Canzoni sotto l'albero;Varie;Il mio grande papà  ;384;x;.;.;B;S;.;.;.;.;.;.;.;.;.;.;.;.;.;.; bytes 2.887.680;;;;
;Bambini;Canzoni sotto l'albero;Varie;Nella vecchia fattoria;384;x;.;.;B;S;.;.;.;.;.;.;.;.;.;.;.;.;.;.; bytes 2.547.712;;;;
;Bambini;Canzoni sotto l'albero;Varie;Noi VORREMMO        ;384;x;.;.;B;S;.;.;.;.;.;.;.;.;.;.;.;.;.;.; bytes 3.698.688;;;;
;Bambini;Canzoni sotto l'albero;Varie;Nonna superman      ;384;x;.;.;B;S;.;.;.;.;.;.;.;.;.;.;.;.;.;.; bytes 3.567.616;;;;
;Bambini;Canzoni sotto l'albero;Varie;Tu scendi dalle stelle;384;x;.;.;B;S;.;.;.;.;.;.;.;.;.;.;.;.;.;.; bytes 2.809.856;;;;
;Bambini;Canzoni sotto l'albero;Varie;W la pappa col pomodoro;384;x;.;.;B;S;.;.;.;.;.;.;.;.;.;.;.;.;.;.; bytes 1.925.120;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Bambini;Cartoni;The best of;Anna Dai Capelli Rossi;0;x;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.; bytes 1.722.880;;;;
;Bambini;Cartoni;The best of;Arale Avventura Nello Spazio Another Dream;0;x;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.; bytes 3.824.036;;;;
;Bambini;Cartoni;The best of;Arrivano I Superboys;0;x;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.; bytes 1.723.428;;;;
;Bambini;Cartoni;The best of;Astro Robot         ;0;x;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.; bytes 1.730.560;;;;
;Bambini;Cartoni;The best of;Astro Robot-Quattro Supereroi;0;x;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.; bytes 2.023.056;;;;
;Bambini;Cartoni;The best of;Astroganga          ;0;x;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.; bytes 1.337.417;;;;
