['""', '""', '""', '""', '""', '""', '""', '""', '""', '""', '""', '""', '""', '""', '""', '""', '""', '""', '""', '""', '""', '""', '""', '""', '""', '""', '""', '""', '""', '""']
['""', 'MP3 Player', '""', 'l:\\LNFree\\Audio\\Players\\1by1\\1by1.exe', '""', '""', '""', '""', '""', '""', '""', '""', '""', '""', '""', '""', '""', '""', '""', '""', '""', '""', '""', '""', '""', '""', '""', '""', '""', '""']
['""', 'MP3 Base Directory', '""', 'd:\\Dati\\Profili\\f602250\\LnFolder\\MyData\\MP3', '""', 'Bennato Edoardo\\Fantasia', '""', '""', '""', '""', '""', '""', '""', '""', '""', '""', '""', '""', '""', '""', '""', '""', '""', '""', '""', '""', '""', '""', '""', '""']
['""', '""', 'Totale Autori = 346', 'Totale Albums = 790', 'Totale Canzoni = 8792', '""', '""', 0, 512, 256, 128, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, '""', '""', '""', '""', '""']
['""', 'Type', 'Author Name', 'Album Name', 'Song Name', 'Punteggio', 'Analizzata', 'Recomended', 'Loreto', 'Buona', 'Soft', 'Vivace', 'Molto Viv', 'Camera', 'Car', 'Lenta', 'Country', 'Strumentale', 'Classica', 'Lirica', 'Live', 'Discreta', 'Undefined', 'Avoid it', 'Confusionaria', 'Song Size', '""', '""', '""', '""']
['""', '@', '""', '""', '""', '""', '""', '""', '""', '""', '""', '""', '""', '""', '""', '""', '""', '""', '""', '""', '""', '""', '""', '""', '""', '""', '""', '""', '""', '""']
['""', '""', '""', '""', '""', '""', '""', '""', '""', '""', '""', '""', '""', '""', '""', '""', '""', '""', '""', '""', '""', '""', '""', '""', '""', '""', '""', '""', '""', '""']
['""', 'Bambini', "Canzoni sotto l'albero", 'Varie', 'Alla scoperta di Babbo NATALE', '=MP3_SommaSE(H8:S8,T8:Y8,$H$4:$S$4)', 'x', '.', '.', 'B', 'S', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', 3010560, '""', '""', '""', '""']
['""', 'Bambini', "Canzoni sotto l'albero", 'Varie', 'Ci vuole un fiore   ', '=MP3_SommaSE(H9:S9,T9:Y9,$H$4:$S$4)', 'x', '.', '.', 'B', 'S', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', 3514368, '""', '""', '""', '""']
['""', 'Bambini', "Canzoni sotto l'albero", 'Varie', 'Dolce cara mammina  ', '=MP3_SommaSE(H10:S10,T10:Y10,$H$4:$S$4)', 'x', '.', '.', 'B', 'S', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', 1757184, '""', '""', '""', '""']
['""', 'Bambini', "Canzoni sotto l'albero", 'Varie', 'Il ballo del qua qua', '=MP3_SommaSE(H11:S11,T11:Y11,$H$4:$S$4)', 'x', '.', '.', 'B', 'S', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', 3006464, '""', '""', '""', '""']
['""', 'Bambini', "Canzoni sotto l'albero", 'Varie', 'Il mio grande papà  ', '=MP3_SommaSE(H12:S12,T12:Y12,$H$4:$S$4)', 'x', '.', '.', 'B', 'S', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', 2887680, '""', '""', '""', '""']
['""', 'Bambini', "Canzoni sotto l'albero", 'Varie', 'Nella vecchia fattoria', '=MP3_SommaSE(H13:S13,T13:Y13,$H$4:$S$4)', 'x', '.', '.', 'B', 'S', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', 2547712, '""', '""', '""', '""']
['""', 'Bambini', "Canzoni sotto l'albero", 'Varie', 'Noi VORREMMO        ', '=MP3_SommaSE(H14:S14,T14:Y14,$H$4:$S$4)', 'x', '.', '.', 'B', 'S', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', 3698688, '""', '""', '""', '""']
['""', 'Bambini', "Canzoni sotto l'albero", 'Varie', 'Nonna superman      ', '=MP3_SommaSE(H15:S15,T15:Y15,$H$4:$S$4)', 'x', '.', '.', 'B', 'S', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', 3567616, '""', '""', '""', '""']
['""', 'Bambini', "Canzoni sotto l'albero", 'Varie', 'Tu scendi dalle stelle', '=MP3_SommaSE(H16:S16,T16:Y16,$H$4:$S$4)', 'x', '.', '.', 'B', 'S', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', 2809856, '""', '""', '""', '""']
['""', 'Bambini', "Canzoni sotto l'albero", 'Varie', 'W la pappa col pomodoro', '=MP3_SommaSE(H17:S17,T17:Y17,$H$4:$S$4)', 'x', '.', '.', 'B', 'S', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', 1925120, '""', '""', '""', '""']
['""', '""', '""', '""', '""', '""', '""', '""', '""', '""', '""', '""', '""', '""', '""', '""', '""', '""', '""', '""', '""', '""', '""', '""', '""', '""', '""', '""', '""', '""']
